id,name,organization,profile link,affiliation,majors
ltu1CEYAAAAJ,Salameh P,Lebanese University,https://scholar.google.com/citations?hl=en&user=ltu1CEYAAAAJ,Lebanese University; INSPECT-LB,Epidemiology Pharmacy Toxicology
56m4FtQAAAAJ,Marwa JAHJAH hussein,Lebanese University,https://scholar.google.com/citations?hl=en&user=56m4FtQAAAAJ,Associate professor at Lebanese university,Particle Physics
EgnY4REAAAAJ,Helene Greige,Lebanese University,https://scholar.google.com/citations?hl=en&user=EgnY4REAAAAJ,Lebanese University,Drug delivery Pharmaco-chemistry Green solvents
YIkMGh4AAAAJ,Kazem Zibara,Lebanese University,https://scholar.google.com/citations?hl=en&user=YIkMGh4AAAAJ,Lebanese University,Vascular Biology Cancer Stem Cells Traumatic Brain Injury Multiple Scelrosis
JyiFKagAAAAJ,Rafic Younes,Lebanese University,https://scholar.google.com/citations?hl=en&user=JyiFKagAAAAJ,Lebanese University,Nonlinear Control Engineering Optimization Energy Management Homogenization Multidisciplinary Optimization.
O_z1frgAAAAJ,Ali Atoui,Lebanese University,https://scholar.google.com/citations?hl=en&user=O_z1frgAAAAJ,"Professor of Microbiology,  Lebanese University",Genetics and physiology of mycotoxin …
-CQwus4AAAAJ,Youssef Fares,Lebanese University,https://scholar.google.com/citations?hl=en&user=-CQwus4AAAAJ,"Professor of Neurosurgery, Lebanese University",Neurosurgery Neuroscience Spine Surgery
emJHMPwAAAAJ,Bassam Badran,Lebanese University,https://scholar.google.com/citations?hl=en&user=emJHMPwAAAAJ,lebanese University,Cancer Biology Molecular Biology Immunology
WjA9Iv0AAAAJ,Ziad Salameh,Lebanese University,https://scholar.google.com/citations?hl=en&user=WjA9Iv0AAAAJ,"Professor, Faculty of Dental Medicine, Lebanese University",digital dentistry materials prosthodontics
vxvrZiEAAAAJ,Farouk Fardoun,Lebanese University,https://scholar.google.com/citations?hl=en&user=vxvrZiEAAAAJ,lebanese university,energy heat pumps energy efficiency in buildings fatigue composite materials
Sn3t1ioAAAAJ,Akram Hijazi,Lebanese University,https://scholar.google.com/citations?hl=en&user=Sn3t1ioAAAAJ,lebanese university,environment water treatment medicinal plants catalysis Organometallics، waste management
0DzJpLQAAAAJ,Mohamad KHALIL,Lebanese University,https://scholar.google.com/citations?hl=en&user=0DzJpLQAAAAJ,"Professor at Lebanese university, faculty of engineering",signal processing detection classification Biomedical signals Neurology
Lu1Lq6kAAAAJ,Fouad Dabboussi,Lebanese University,https://scholar.google.com/citations?hl=en&user=Lu1Lq6kAAAAJ,"Professor, Faculty of Public Health, Lebanese University",Microbiology
wXbdZuQAAAAJ,Nazih Moubayed,Lebanese University,https://scholar.google.com/citations?hl=en&user=wXbdZuQAAAAJ,"Lebanese University, Faculty of Engineering",Renewable energy Fuel Cell Energy storage Hybrid vehicle Electrical vehicle
dc2eGnUAAAAJ,Tony Khoury,Lebanese University,https://scholar.google.com/citations?hl=en&user=dc2eGnUAAAAJ,"Professor in Organic Chemistry, Lebanese University",Organic Chemistry Porphyrins Solar Energy Molecular Electronics Photosynthesis
ubgOmIAAAAAJ,Fouad El Haj Hassan,Lebanese University,https://scholar.google.com/citations?hl=en&user=ubgOmIAAAAAJ,Professor at the Lebanese University,Condensed matter Computational physics Semicondactors
Yqel12cAAAAJ,Fouad Ziade,Lebanese University,https://scholar.google.com/citations?hl=en&user=Yqel12cAAAAJ,Lebanese University,Bio-statistics Epidemiology pain
f3uxl4wAAAAJ,Hasnaa Bouharoun-Tayoun,Lebanese University,https://scholar.google.com/citations?hl=en&user=f3uxl4wAAAAJ,"Professor of Immunology, Lebanese university",malaria vaccine development
0lfZRAEAAAAJ,Ounsi H,Lebanese University,https://scholar.google.com/citations?hl=en&user=0lfZRAEAAAAJ,Lebanese university,dentistry endodontics dental materials
Md-Qez4AAAAJ,Hassan Rammal,Lebanese University,https://scholar.google.com/citations?hl=en&user=Md-Qez4AAAAJ,"Lebanese University, Faculty of Agronomy",Medicinal & Aromatic Plants
IW38SxMAAAAJ,Abed Ellatif Samhat,Lebanese University,https://scholar.google.com/citations?hl=en&user=IW38SxMAAAAJ,Lebanese University - Faculty of Engineering,Heterogeneous Wireless Networks Mobility Management Security IoT
RNSxfPcAAAAJ,Roland El Hage,Lebanese University,https://scholar.google.com/citations?hl=en&user=RNSxfPcAAAAJ,"Lebanese University, Professor",Biomass fireproof flame retardancy biopolymers biocomposites
P5Gs6CQAAAAJ,Sanaa Nabha,Lebanese University,https://scholar.google.com/citations?hl=en&user=P5Gs6CQAAAAJ,"Professor, Lebanese University",Neurosciences
LL3WYKwAAAAJ,Zeinab Saad,Lebanese University,https://scholar.google.com/citations?hl=en&user=LL3WYKwAAAAJ,Lebanese University,Environement inorganic chemistry physical chemistry
xw8WYBUAAAAJ,Antoine G. El Samrani,Lebanese University,https://scholar.google.com/citations?hl=en&user=xw8WYBUAAAAJ,"Lebanese university , Faculty of science",Environmental chemistry solid waste and water treatment soil pollution Solid liquid interfaces
IWx6HeAAAAAJ,Roland Habchi,Lebanese University,https://scholar.google.com/citations?hl=en&user=IWx6HeAAAAAJ,"Professor of Physics, Lebanese University",Physics materials science
lyeEe3IAAAAJ,Fawaz EL OMAR,Lebanese University,https://scholar.google.com/citations?hl=en&user=lyeEe3IAAAAJ,lebanese university,physical chemistry
CBt7FokAAAAJ,Zaher Zeaiter,Lebanese University,https://scholar.google.com/citations?hl=en&user=CBt7FokAAAAJ,Professor of microbiology at the Lebanese University,medical microbiology molecular biology bioinformatics cancer biology
5LR6cSsAAAAJ,Jacques Demerjian,Lebanese University,https://scholar.google.com/citations?hl=en&user=5LR6cSsAAAAJ,"Full Professor, Lebanese University",Network Security Information Systems Security
d0SmD-gAAAAJ,haitham zaraket,Lebanese University,https://scholar.google.com/citations?hl=en&user=d0SmD-gAAAAJ,Lebanese University,
k9ZA0G4AAAAJ,Ali Ismail,Lebanese University,https://scholar.google.com/citations?hl=en&user=k9ZA0G4AAAAJ,"Professor of Food Technology, Lebanese University",Food Technology and Bioprocessing
jgyL1k4AAAAJ,Rayane Rafei,Lebanese University,https://scholar.google.com/citations?hl=en&user=jgyL1k4AAAAJ,Lebanese university,Medical Microbiology
-SaZYhYAAAAJ,Hussein Awala,Lebanese University,https://scholar.google.com/citations?hl=en&user=-SaZYhYAAAAJ,"Associate Professor in Chemistry, Lebanese University",Nanoparticles for Environmental Medical and Nanotechnology applications
