researcher_id,researcher_name,title,link,cited_by,year,authors,journal
56m4FtQAAAAJ,Marwa JAHJAH hussein,Differential branching fraction and angular analysis of the decay B 0→ K∗ 0 μ+ μ−,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:NMxIlDl6LWMC,"954
*",2013,"R Aaij, CA Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, Z Ajaltouni, ...","Journal of High Energy Physics 2013 (8), 1-31"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of hadron production fractions in 7 TeV collisions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:P5F9QuxV20EC,725,2012,"R Aaji, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Physical Review D—Particles, Fields, Gravitation, and Cosmology 85 (3), 032008"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of σ (pp→ bb¯ X) at s= 7 TeV in the forward region,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:9ZlFYXVOiuMC,665,2010,"R Aaij, CA Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, M Agari, ...","Physics Letters B 694 (3), 209-216"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of J/ψ production in pp collisions at,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:LPZeul_q3PIC,642,2013,"R Aaij, CA Beteta, A Adametz, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Journal of High Energy Physics 2013 (2), 1-17"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Evidence for Violation in Time-Integrated Decay Rates,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:nb7KW1ujOQ8C,596,2012,"R Aaij, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Physical Review Letters 108 (11), 111602"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of ψ(2S) meson production in pp collisions at,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:O3NaXMp0MMsC,"503
*",2012,"LHCb Collaboration decapua. stefano@ gmail. com, R Aaij, ...","The European Physical Journal C 72, 1-12"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Observation of double charm production involving open charm in pp collisions at,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:MXK_kJrjxJIC,417,2012,"R Aaij, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Journal of High Energy Physics 2012 (6), 1-36"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Observation of X (3872) production in pp collisions at s=7~TeV,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:mB3voiENLucC,378,2012,"LHCb Collaboration joel. bressieux@ epfl. ch, R Aaij, C Abellan Beteta, ...","The European Physical Journal C 72, 1-9"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Inclusive W and Z production in the forward region at,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:WF5omc3nYNoC,370,2012,"R Aaij, C Abellan Beteta, A Adametz, B Adeva, M Adinolfi, C Adrover, ...","Journal of High Energy Physics 2012 (6), 1-30"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Search for the rare decays B0 s→ µ+ µ− and B0→ µ+ µ−,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:qxL8FJ1GzNcC,"327
*",2011,"LHCb Collaboration, R Aaij, B Adeva","Phys. Lett. B 699, 330"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Strong Constraints on the Rare Decays and,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:WbkHhVStYXYC,317,2012,"R Aaij, C Abellan Beteta, A Adametz, B Adeva, M Adinolfi, C Adrover, ...","Physical Review Letters 108 (23), 231801"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of the -Violating Phase in the Decay,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:KxtntwgDAa4C,281,2012,"R Aaij, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Physical Review Letters 108 (10), 101803"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of the CP-violating phase ϕs in B¯ s0→ J/ψπ+ π− decays,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:ZeXyd9-uunAC,276,2014,"R Aaij, B Adeva, M Adinolfi, A Affolder, Z Ajaltouni, S Akar, J Albrecht, ...","Physics Letters B 736, 186-195"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Analysis of the resonant components in,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:OU6Ihb5iCvQC,275,2012,"R Aaij, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Physical Review D—Particles, Fields, Gravitation, and Cosmology 86 (5), 052006"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Determination of the Sign of the Decay Width Difference in the System,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:u_35RYKgDlwC,259,2012,"R Aaij, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Physical Review Letters 108 (24), 241801"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurements of Production and Mass with the Decay,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:tOudhMTPpwUC,243,2012,"R Aaij, C Abellan Beteta, A Adametz, B Adeva, M Adinolfi, C Adrover, ...","Physical Review Letters 109 (23), 232001"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Observation of excited Λ b 0 baryons,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:XiSMed-E-HIC,212,2012,"R Aaij, C Abellan Beteta, A Adametz, B Adeva, M Adinolfi, C Adrover, ...","Physical Review Letters 109 (17), 172003"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Prompt KS0 production in pp collisions at s= 0.9 TeV,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:mVmsd5A6BfQC,"212
*",2010,"R Aaij, CA Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, M Agari, ...","Physics Letters B 693 (2), 69-80"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Roadmap for selected key measurements of LHCb,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:4DMP91E08xMC,196,2009,"B Adeva, M Adinolfi, A Affolder, Z Ajaltouni, J Albrecht, F Alessio, ...",arXiv preprint arXiv:0912.4179
56m4FtQAAAAJ,Marwa JAHJAH hussein,First Observation of the Decay,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&citation_for_view=56m4FtQAAAAJ:rO6llkc54NcC,"185
*",2012,"R Aaij, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Physical review letters 108 (25), 251802"
56m4FtQAAAAJ,Marwa JAHJAH hussein,First Evidence of Direct Violation in Charmless Two-Body Decays of Mesons,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:Tiz5es2fbqcC,184,2012,"R Aaij, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Physical Review Letters 108 (20), 201601"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Search for the state in decays,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:YFjsv_pBGBYC,184,2012,"R Aaij, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Physical Review D—Particles, Fields, Gravitation, and Cosmology 85 (9), 091103"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of b-hadron branching fractions for two-body decays into charmless charged hadrons,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:LkGwnXOMwfcC,177,2012,"R Aaij, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Journal of High Energy Physics 2012 (10), 1-21"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of the cross-section ratio σ (χc2)/σ (χc1) for prompt χc production at s= 7 TeV,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:0EnyYjriUFMC,165,2012,"R Aaij, CA Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, Z Ajaltouni, ...","Physics Letters B 714 (2-5), 215-223"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of the ratio of branching fractions B (B0→ K⁎ 0γ)/B (Bs0→ ϕγ) and the direct CP asymmetry in B0→ K⁎ 0γ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:4fKUyHm3Qg0C,158,2013,"R Aaij, CA Beteta, A Adametz, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Nuclear Physics B 867 (1), 1-18"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Absolute luminosity measurements with the LHCb detector at the LHC,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:dhFuZR0502QC,146,2012,LHCb Collaboration,"Journal of Instrumentation 7 (01), P01010"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Searches for Majorana neutrinos in decays,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:p2g8aNsByqUC,127,2012,"R Aaij, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Physical Review D—Particles, Fields, Gravitation, and Cosmology 85 (11), 112004"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of the effective Bs0→ K+ K− lifetime,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:GnPB-g6toBAC,122,2012,"R Aaij, CA Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, Z Ajaltouni, ...","Physics Letters B 707 (3-4), 349-356"
56m4FtQAAAAJ,Marwa JAHJAH hussein,First observation of the decay Bs0→ K⁎ 0K¯⁎ 0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:zA6iFVUQeVQC,"121
*",2012,"R Aaij, CA Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, Z Ajaltouni, ...","Physics Letters B 709 (1-2), 50-58"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of ϒ production in pp collisions at√ s= 7 TeV,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:7PzlFSSx8tAC,118,2012,LHCb Collaboration,"European Physical Journal C 72 (6), 2025"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurements of the branching fractions for and,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:738O_yMBCRsC,112,2011,"R Aaij, B Adeva, M Adinolfi, C Adrover, A Affolder, Z Ajaltouni, J Albrecht, ...","Physical Review D—Particles, Fields, Gravitation, and Cosmology 84 (9), 092001"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Determination of for 7 TeV Collisions and Measurement <?format ?>of the Branching Fraction,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:u9iWguZQMMsC,104,2011,"R Aaij, B Adeva, M Adinolfi, C Adrover, A Affolder, Z Ajaltouni, J Albrecht, ...","Physical Review Letters 107 (21), 211801"
56m4FtQAAAAJ,Marwa JAHJAH hussein,First Observation of the Decay and Studies of Excited Mesons,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:UxriW0iASnsC,102,2013,"R Aaij, C Abellan Beteta, A Adametz, B Adeva, M Adinolfi, C Adrover, ...","Physical review letters 110 (15), 151803"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurements of the branching fractions and asymmetries of <?format ?>and decays,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:SP6oXDckpogC,101,2012,"R Aaij, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Physical Review D—Particles, Fields, Gravitation, and Cosmology 85 (9), 091105"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of the branching fraction and angular amplitudes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:TQgYirikUcIC,94,2012,"R Aaij, C Abellan Beteta, A Adametz, B Adeva, M Adinolfi, C Adrover, ...","Physical Review D—Particles, Fields, Gravitation, and Cosmology 86 (7), 071102"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of the CP violating phase ϕs in B¯ s0→ J/ψf0 (980),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:EUQCXRtRnyEC,94,2012,"R Aaij, CA Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, Z Ajaltouni, ...","Physics Letters B 707 (5), 497-505"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of the Effective Lifetime in the Final State,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:1sJd4Hv_s6UC,90,2012,"R Aaij, C Abellan Beteta, A Adametz, B Adeva, M Adinolfi, C Adrover, ...","Physical Review Letters 109 (15), 152002"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of V 0 production ratios in pp collisions at and 7 TeV,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:_FxGoFyzp5QC,89,2011,"R Aaij, B Adeva, M Adinolfi, C Adrover, A Affolder, Z Ajaltouni, J Albrecht, ...","Journal of High Energy Physics 2011 (8), 1-22"
