researcher_id,researcher_name,title,link,cited_by,year,authors,journal
ltu1CEYAAAAJ,Salameh P,Antimicrobial resistance global report on surveillance: 2014 summary,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ltu1CEYAAAAJ&citation_for_view=ltu1CEYAAAAJ:ocbgtyEEUOwC,7104,2014,World Health Organization,Antimicrobial resistance global report on surveillance: 2014 summary
ltu1CEYAAAAJ,Salameh P,Global action plan on antimicrobial resistance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ltu1CEYAAAAJ&citation_for_view=ltu1CEYAAAAJ:pZYLKkizsIQC,"5263
*",2015,World Health Organization,Global action plan on antimicrobial resistance
ltu1CEYAAAAJ,Salameh P,Maternal mortality: evidence brief,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ltu1CEYAAAAJ&citation_for_view=ltu1CEYAAAAJ:yqZeyBDMhiUC,"1332
*",2019,World Health Organization,< bound method Organization. get_name_with_acronym of< Organization: World …
ltu1CEYAAAAJ,Salameh P,"Compendium of WHO malaria guidance: prevention, diagnosis, treatment, surveillance and elimination",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ltu1CEYAAAAJ&citation_for_view=ltu1CEYAAAAJ:Ltc9rfRcsxEC,"814
*",2019,World Health Organization,"Compendium of WHO malaria guidance: prevention, diagnosis, treatment …"
ltu1CEYAAAAJ,Salameh P,Surveillance of antimicrobial resistance in low-and middle-income countries: a scattered picture,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ltu1CEYAAAAJ&citation_for_view=ltu1CEYAAAAJ:Z7R3Ocg27JUC,332,2021,"K Iskandar, L Molinier, S Hallit, M Sartelli, TC Hardcastle, M Haque, ...","Antimicrobial Resistance & Infection Control 10, 1-19"
ltu1CEYAAAAJ,Salameh P,Drug safety in developing countries: Achievements and challenges,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ltu1CEYAAAAJ&citation_for_view=ltu1CEYAAAAJ:2mikiJ1VBVsC,320,2020,YM Al-Worafi,Academic Press
ltu1CEYAAAAJ,Salameh P,"Pesticides in Lebanon: a knowledge, attitude, and practice study",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ltu1CEYAAAAJ&citation_for_view=ltu1CEYAAAAJ:rzmi0EmCOGEC,264,2004,"PR Salameh, I Baldi, P Brochard, B Abi Saleh","Environmental research 94 (1), 1-6"
ltu1CEYAAAAJ,Salameh P,Malnutrition and frailty in community dwelling older adults living in a rural setting,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ltu1CEYAAAAJ&citation_for_view=ltu1CEYAAAAJ:j5aT6aphRxQC,240,2016,"C Boulos, P Salameh, P Barberger-Gateau","Clinical nutrition 35 (1), 138-143"
ltu1CEYAAAAJ,Salameh P,Preoperative patient education for open-heart patients: a source of anxiety?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ltu1CEYAAAAJ&citation_for_view=ltu1CEYAAAAJ:NnTm98qLMbgC,229,2006,"M Deyirmenjian, N Karam, P Salameh","Patient education and counseling 62 (1), 111-117"
ltu1CEYAAAAJ,Salameh P,Social isolation and risk for malnutrition among older people,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ltu1CEYAAAAJ&citation_for_view=ltu1CEYAAAAJ:Gb6Hms-Uo9kC,223,2017,"C Boulos, P Salameh, P Barberger‐Gateau","Geriatrics & gerontology international 17 (2), 286-294"
ltu1CEYAAAAJ,Salameh P,Antibiotic knowledge and self-medication practices in a developing country: A cross-sectional study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ltu1CEYAAAAJ&citation_for_view=ltu1CEYAAAAJ:XtJa11BXPS4C,206,2017,"A Jamhour, A El-Kheir, P Salameh, P Abi Hanna, H Mansour","American journal of infection control 45 (4), 384-388"
ltu1CEYAAAAJ,Salameh P,Waterpipe smoking: construction and validation of the Lebanon Waterpipe Dependence Scale (LWDS-11),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ltu1CEYAAAAJ&citation_for_view=ltu1CEYAAAAJ:9yKSN-GCB0IC,193,2008,"P Salameh, M Waked, Z Aoun","Nicotine & Tobacco Research 10 (1), 149-158"
