Title,Authors,Journal/Conference,Year,Citations
Antimicrobial resistance global report on surveillance: 2014 summary,World Health Organization,Antimicrobial resistance global report on surveillance: 2014 summary,2014,7100
Global action plan on antimicrobial resistance,World Health Organization,Global action plan on antimicrobial resistance,2015,"5260
*"
Maternal mortality: evidence brief,World Health Organization,< bound method Organization. get_name_with_acronym of< Organization: World …,2019,"1324
*"
"Compendium of WHO malaria guidance: prevention, diagnosis, treatment, surveillance and elimination",World Health Organization,"Compendium of WHO malaria guidance: prevention, diagnosis, treatment …",2019,"815
*"
Surveillance of antimicrobial resistance in low-and middle-income countries: a scattered picture,"K Iskandar, L Molinier, S Hallit, M Sartelli, TC Hardcastle, M Haque, ...","Antimicrobial Resistance & Infection Control 10, 1-19",2021,331
Drug safety in developing countries: Achievements and challenges,YM Al-Worafi,Academic Press,2020,320
"Pesticides in Lebanon: a knowledge, attitude, and practice study","PR Salameh, I Baldi, P Brochard, B Abi Saleh","Environmental research 94 (1), 1-6",2004,264
Malnutrition and frailty in community dwelling older adults living in a rural setting,"C Boulos, P Salameh, P Barberger-Gateau","Clinical nutrition 35 (1), 138-143",2016,240
Preoperative patient education for open-heart patients: a source of anxiety?,"M Deyirmenjian, N Karam, P Salameh","Patient education and counseling 62 (1), 111-117",2006,229
Social isolation and risk for malnutrition among older people,"C Boulos, P Salameh, P Barberger‐Gateau","Geriatrics & gerontology international 17 (2), 286-294",2017,223
Antibiotic knowledge and self-medication practices in a developing country: A cross-sectional study,"A Jamhour, A El-Kheir, P Salameh, P Abi Hanna, H Mansour","American journal of infection control 45 (4), 384-388",2017,206
Waterpipe smoking: construction and validation of the Lebanon Waterpipe Dependence Scale (LWDS-11),"P Salameh, M Waked, Z Aoun","Nicotine & Tobacco Research 10 (1), 149-158",2008,193
Respiratory symptoms in children and exposure to pesticides,"PR Salameh, I Baldi, P Brochard, C Raherison, B Abi Saleh, R Salamon","European Respiratory Journal 22 (3), 507-512",2003,176
"Consanguinity in Lebanon: prevalence, distribution and determinants","B Barbour, P Salameh","Journal of biosocial science 41 (4), 505-517",2009,165
Antibiotic discovery and resistance: the chase and the race,"K Iskandar, J Murugaiyan, D Hammoudi Halat, SE Hage, V Chibabhai, ...","Antibiotics 11 (2), 182",2022,161
"Knowledge, attitude and behaviors towards patients with mental illness: Results from a national Lebanese study","C Abi Doumit, C Haddad, H Sacre, P Salameh, M Akel, S Obeid, M Akiki, ...","PloS one 14 (9), e0222172",2019,153
Fatherhood and health outcomes in Europe,World Health Organization,Fatherhood and health outcomes in Europe,2007,"151
*"
